id	name	population	
GBR	England	"37"	
RUS	Russia	"7"	
FRA	France	"7"	
USA	USA	"84"	
POR	Portugal	"2"	
KOR	South Korea	"4"	
CHI	China	"2"	
CHL	Chile	"18"	
VNM	Vietnam	"1"	
SVK	Slovakia	"1"	
JPN	Japan	"5"	
GRE	Greece	"1"	
POL	Poland	"1"	
AUT	Austria	"2"	
ISR	Israel	"1"	
SWE	Sweden	"3"	
NGA	Nigeria	"3"	
ARG	Argentina	"1"	
CAN	Canada	"6"	
SPA	Spain	"8"	
MAR	Morocco	"1"	
FIN	Finland	"1"	"--lo saque"
ITA	Italia	"2"	
IRL	Irlanda	"2"	
COL	Colombia	"1"	
PER	Peru	"1"	
MEX	Mexico	"2"	
DEN	Denmark	"1"	
TUR	Turkey	"2"	
AUS	Australia	"1"
